"source","target","weight","type"
"Cardozo-Ortiz, Pamela Andrea","Gamboa-Estrada, Fredy Alejandro",1,"Undirected"
"Cardozo-Ortiz, Pamela Andrea","Perez-Reyna, David",1,"Undirected"
"Cardozo-Ortiz, Pamela Andrea","Villamizar-Villegas, Mauricio",1,"Undirected"
"Gamboa-Estrada, Fredy Alejandro","Perez-Reyna, David",1,"Undirected"
"Gamboa-Estrada, Fredy Alejandro","Villamizar-Villegas, Mauricio",1,"Undirected"
"Perez-Reyna, David","Villamizar-Villegas, Mauricio",1,"Undirected"
"Galán-Camacho, Jorge","Sarmiento, Miguel",1,"Undirected"
"Kalmanovitz-Krauter, Salomón","Avella, Mauricio",1,"Undirected"
"Melo-Velandia, Luis Fernando","Loaiza-Maya, Rubén Albeiro",1,"Undirected"
"Melo-Velandia, Luis Fernando","Villamizar-Villegas, Mauricio",1,"Undirected"
"Loaiza-Maya, Rubén Albeiro","Villamizar-Villegas, Mauricio",1,"Undirected"
"Melo-Velandia, Luis Fernando","Loaiza-Maya, Rubén Albeiro",1,"Undirected"
"Gómez-González, Esteban","Rozo, Sandra",1,"Undirected"
"Gómez-González, José Eduardo","Parra-Polanía, Julián Andrés",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Melo-Becerra, Ligia Alba","Parrado-Galvis, Ligia Marcela",1,"Undirected"
"Melo-Becerra, Ligia Alba","Zárate-Solano, Hector Manuel",1,"Undirected"
"Ramos-Forero, Jorge Enrique","Parrado-Galvis, Ligia Marcela",1,"Undirected"
"Ramos-Forero, Jorge Enrique","Zárate-Solano, Hector Manuel",1,"Undirected"
"Parrado-Galvis, Ligia Marcela","Zárate-Solano, Hector Manuel",1,"Undirected"
"Bottia, Martha","Cardona-Sosa, Lina Marcela",1,"Undirected"
"Bottia, Martha","Medina-Durango, Carlos Alberto",1,"Undirected"
"Cardona-Sosa, Lina Marcela","Medina-Durango, Carlos Alberto",1,"Undirected"
"Tenjo-Galarza, Fernando","López-Enciso, Enrique Antonio",1,"Undirected"
"Franco, Juan Pablo","Gómez-González, José Eduardo",1,"Undirected"
"Franco, Juan Pablo","Ojeda-Joya, Jair N.",1,"Undirected"
"Franco, Juan Pablo","Torres-Gorron, Jhon Edwar",1,"Undirected"
"Gómez-González, José Eduardo","Ojeda-Joya, Jair N.",1,"Undirected"
"Gómez-González, José Eduardo","Torres-Gorron, Jhon Edwar",1,"Undirected"
"Ojeda-Joya, Jair N.","Torres-Gorron, Jhon Edwar",1,"Undirected"
"Martinez-Rivera, Wilmer Osvaldo","Hernández-Bejarano, Manuel Darío",1,"Undirected"
"Morales-Zurita, Leonardo Fabio","Cardona-Sosa, Lina Marcela",1,"Undirected"
"Lasso-Valderrama, Francisco Javier","Frasser, Cristian Camilo",1,"Undirected"
"Guarín, Arlen","Medina-Durango, Carlos Alberto",1,"Undirected"
"Guarín, Arlen","Posso-Suárez, Christian Manuel",1,"Undirected"
"Medina-Durango, Carlos Alberto","Posso-Suárez, Christian Manuel",1,"Undirected"
"Suescun-Melo, Rodrigo","Misas A., Martha",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Velandia, Daniel Eduardo",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Posada, Carlos Esteban",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Uribe, José Darío",1,"Undirected"
"Posada, Carlos Esteban","Uribe, José Darío",1,"Undirected"
"Arango-Thomas, Luis Eduardo","González-Gómez, Andrés",1,"Undirected"
"Arango-Thomas, Luis Eduardo","León, John Jairo",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Melo-Velandia, Luis Fernando",1,"Undirected"
"González-Gómez, Andrés","León, John Jairo",1,"Undirected"
"González-Gómez, Andrés","Melo-Velandia, Luis Fernando",1,"Undirected"
"León, John Jairo","Melo-Velandia, Luis Fernando",1,"Undirected"
"Mora, Humberto","Rincón-Castro, Hernán",1,"Undirected"
"Mejía, Daniel","Posada, Carlos Esteban",1,"Undirected"
"Vargas-Herrera, Hernando","Varela, Carlos",1,"Undirected"
"Espinosa, Alexandra","Jaramillo, Carlos Felipe",1,"Undirected"
"Espinosa, Alexandra","Caicedo-García, Edgar",1,"Undirected"
"Jaramillo, Carlos Felipe","Caicedo-García, Edgar",1,"Undirected"
"Cardozo-Alvarado, Nathali","Rassa-Robayo, Juan Sebastián",1,"Undirected"
"Cardozo-Alvarado, Nathali","Rojas-Moreno, Juan Sebastián",1,"Undirected"
"Rassa-Robayo, Juan Sebastián","Rojas-Moreno, Juan Sebastián",1,"Undirected"
"Leibovich, José","Nigrinis-Ospina, Mario",1,"Undirected"
"Leibovich, José","Ramos-Veloza, Mario Andrés",1,"Undirected"
"Nigrinis-Ospina, Mario","Ramos-Veloza, Mario Andrés",1,"Undirected"
"Arango-Arango, Carlos Alberto","Bouhdaouiz, Yassine",1,"Undirected"
"Arango-Arango, Carlos Alberto","Bounie, David",1,"Undirected"
"Arango-Arango, Carlos Alberto","Eschelbach, Martina",1,"Undirected"
"Arango-Arango, Carlos Alberto","Hernández, Lola",1,"Undirected"
"Bouhdaouiz, Yassine","Bounie, David",1,"Undirected"
"Bouhdaouiz, Yassine","Eschelbach, Martina",1,"Undirected"
"Bouhdaouiz, Yassine","Hernández, Lola",1,"Undirected"
"Bounie, David","Eschelbach, Martina",1,"Undirected"
"Bounie, David","Hernández, Lola",1,"Undirected"
"Eschelbach, Martina","Hernández, Lola",1,"Undirected"
"Junguito, Roberto","Vargas-Herrera, Hernando",1,"Undirected"
"Medina-Durango, Carlos Alberto","Escobar-R., José Fernando",1,"Undirected"
"Parra-Polanía, Julián Andrés","Vargas-Riaño, Carmiña Ofelia",1,"Undirected"
"Forero-Ramírez, Nohora","Knoote, Floor E. W.",1,"Undirected"
"Forero-Ramírez, Nohora","Ortega-Tíneo, Sofía",1,"Undirected"
"Knoote, Floor E. W.","Ortega-Tíneo, Sofía",1,"Undirected"
"Melo-Velandia, Luis Fernando","Rincón-Castro, Hernán",1,"Undirected"
"Echavarría-Soto, Juan José","González-Gómez, Andrés",1,"Undirected"
"Echavarría-Soto, Juan José","López-Enciso, Enrique Antonio",1,"Undirected"
"Echavarría-Soto, Juan José","Rodríguez-Niño, Norberto",1,"Undirected"
"González-Gómez, Andrés","López-Enciso, Enrique Antonio",1,"Undirected"
"González-Gómez, Andrés","Rodríguez-Niño, Norberto",1,"Undirected"
"López-Enciso, Enrique Antonio","Rodríguez-Niño, Norberto",1,"Undirected"
"Echavarría-Soto, Juan José","López-Enciso, Enrique Antonio",1,"Undirected"
"Echavarría-Soto, Juan José","Ocampo-Díaz, Sergio",1,"Undirected"
"Echavarría-Soto, Juan José","Rodríguez-Niño, Norberto",1,"Undirected"
"López-Enciso, Enrique Antonio","Ocampo-Díaz, Sergio",1,"Undirected"
"López-Enciso, Enrique Antonio","Rodríguez-Niño, Norberto",1,"Undirected"
"Ocampo-Díaz, Sergio","Rodríguez-Niño, Norberto",1,"Undirected"
"González-Gómez, Andrés","Mendoza, Omar",1,"Undirected"
"González-Gómez, Andrés","Rincón-Castro, Hernán",1,"Undirected"
"González-Gómez, Andrés","Rodríguez-Niño, Norberto",1,"Undirected"
"Mendoza, Omar","Rincón-Castro, Hernán",1,"Undirected"
"Mendoza, Omar","Rodríguez-Niño, Norberto",1,"Undirected"
"Rincón-Castro, Hernán","Rodríguez-Niño, Norberto",1,"Undirected"
"Granger-Castaño, Clark","Hernández-Turca, Yurany",1,"Undirected"
"Granger-Castaño, Clark","Murcia-Bustos, Carlos",1,"Undirected"
"Granger-Castaño, Clark","Yaya-Garzón, Lisseth",1,"Undirected"
"Hernández-Turca, Yurany","Murcia-Bustos, Carlos",1,"Undirected"
"Hernández-Turca, Yurany","Yaya-Garzón, Lisseth",1,"Undirected"
"Murcia-Bustos, Carlos","Yaya-Garzón, Lisseth",1,"Undirected"
"Alfonso-Corredor, Viviana Alejandra","Arango-Thomas, Luis Eduardo",1,"Undirected"
"Alfonso-Corredor, Viviana Alejandra","Arias-Rodríguez, Fernando",1,"Undirected"
"Alfonso-Corredor, Viviana Alejandra","Pulido, José David",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Arias-Rodríguez, Fernando",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Pulido, José David",1,"Undirected"
"Arias-Rodríguez, Fernando","Pulido, José David",1,"Undirected"
"Hamann-Salcedo, Franz Alonso","Riascos, Alvaro J.",1,"Undirected"
"Cristiano-Botia, Deicy Johana","Grajales, Anderson",1,"Undirected"
"Cristiano-Botia, Deicy Johana","Ramos-Veloza, Mario Andrés",1,"Undirected"
"Grajales, Anderson","Ramos-Veloza, Mario Andrés",1,"Undirected"
"Zárate-Solano, Hector Manuel","Zapata-Sanabria, Daniel R.",1,"Undirected"
"Mejía, Daniel","Posada, Carlos Esteban",1,"Undirected"
"Misas A., Martha","Oliveros, Hugo",1,"Undirected"
"Melo-Velandia, Luis Fernando","León, John Jairo",1,"Undirected"
"Melo-Velandia, Luis Fernando","Saboyá, Dagoberto",1,"Undirected"
"León, John Jairo","Saboyá, Dagoberto",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Iregui-Bohórquez, Ana María",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramírez-Giraldo, María Teresa",1,"Undirected"
"López-Valenzuela, David Camilo","López-Enciso, Enrique Antonio",1,"Undirected"
"López-Valenzuela, David Camilo","Montes-Uribe, Enrique",1,"Undirected"
